Title,Prices,Item_url,Image_url,Category
Daisy Street New With Tags Size 8 Foral Tiered Midi Dress Summer,$6.81 ,https://www.ebay.com/itm/144115865229?hash=item218df9968d:g:f~MAAOSwDCZg8eoR,https://i.ebayimg.com/thumbs/images/g/f~MAAOSwDCZg8eoR/s-l225.jpg,Dress
Ladies size 12 summer dress,$7.89 ,https://www.ebay.com/itm/384283011243?hash=item59790d68ab:g:YE0AAOSw7PZg9DjK,https://i.ebayimg.com/thumbs/images/g/YE0AAOSw7PZg9DjK/s-l225.jpg,Dress
Next Linen Blend Shift Summer Dress Size 16 Blue,$4.76 ,https://www.ebay.com/itm/384287800984?hash=item5979567e98:g:bX8AAOSwKBFg9~l6,https://i.ebayimg.com/thumbs/images/g/bX8AAOSwKBFg9~l6/s-l225.jpg,Dress
warehouse floral dress size 12,$1.35 ,https://www.ebay.com/itm/164959577754?hash=item26685b669a:g:t8cAAOSwonVg5fBy,https://i.ebayimg.com/thumbs/images/g/t8cAAOSwonVg5fBy/s-l225.jpg,Dress
🕊Strappy Floral  Slip Dress Size 12 Whites/Pinks Stretch Fit,$2.72 ,https://www.ebay.com/itm/154535525875?hash=item23fb08fdf3:g:svcAAOSwRSlg9Giv,https://i.ebayimg.com/thumbs/images/g/svcAAOSwRSlg9Giv/s-l225.jpg,Dress
zara midi dress size xs,$4.08 ,https://www.ebay.com/itm/234095865681?hash=item3681336f51:g:O-YAAOSwwplg9cwQ,https://i.ebayimg.com/thumbs/images/g/O-YAAOSwwplg9cwQ/s-l225.jpg,Dress
Debenhams Collection Navy White and Pink Maxi Dress size 14 New Without Tags,$5.44 ,https://www.ebay.com/itm/304071203722?hash=item46cc0e5b8a:g:nGkAAOSwLFJg9DEG,https://i.ebayimg.com/thumbs/images/g/nGkAAOSwLFJg9DEG/s-l225.jpg,Dress
Y2K 00s Black Ribbed Lace Bodycon Slip Dress Size XS 6/8 Womens,$6.79 ,https://www.ebay.com/itm/384286620207?hash=item5979447a2f:g:~xIAAOSwQRJg9vzR,https://i.ebayimg.com/thumbs/images/g/~xIAAOSwQRJg9vzR/s-l225.jpg,Dress
Size 14 Shirt Dress,$2.18 ,https://www.ebay.com/itm/234090124683?hash=item3680dbd58b:g:DXAAAOSwN1dg5rgi,https://i.ebayimg.com/thumbs/images/g/DXAAAOSwN1dg5rgi/s-l225.jpg,Dress
New Look Floral Dress strappy Orange Size 8 10,$9.04 ,https://www.ebay.com/itm/124817384020?hash=item1d0fb22254:g:3MYAAOSw3FVg9dri,https://i.ebayimg.com/thumbs/images/g/3MYAAOSw3FVg9dri/s-l225.jpg,Dress
Whistles Shirt Dress Small 10,$8.17 ,https://www.ebay.com/itm/164965621801?hash=item2668b7a029:g:nAAAAOSwYjRg9BbV,https://i.ebayimg.com/thumbs/images/g/nAAAAOSwYjRg9BbV/s-l225.jpg,Dress
In The Style Dress,$4.07 ,https://www.ebay.com/itm/284376996115?hash=item4236309913:g:7ykAAOSw~xBg9XG5,https://i.ebayimg.com/thumbs/images/g/7ykAAOSw~xBg9XG5/s-l225.jpg,Dress
Zara Maxi Dress Size XS,$27.09 ,https://www.ebay.com/itm/144120478979?hash=item218e3ffd03:g:l5kAAOSwfcRg9vHO,https://i.ebayimg.com/thumbs/images/g/l5kAAOSwfcRg9vHO/s-l225.jpg,Dress
Maxi dress size 12 Button Front. BNWT,$7.08 ,https://www.ebay.com/itm/255058341018?hash=item3b62a96c9a:g:MOYAAOSwacJg9E6s,https://i.ebayimg.com/thumbs/images/g/MOYAAOSwacJg9E6s/s-l225.jpg,Dress
Womens Cotton Dress Size 22 Brand New,$5.44 ,https://www.ebay.com/itm/304072588190?hash=item46cc237b9e:g:yCQAAOSwxEBg4Iey,https://i.ebayimg.com/thumbs/images/g/yCQAAOSwxEBg4Iey/s-l225.jpg,Dress
Italian Shirt Dress,$20.42 ,https://www.ebay.com/itm/284374766067?hash=item42360e91f3:g:WvAAAOSw3tpg8rfp,https://i.ebayimg.com/thumbs/images/g/WvAAAOSw3tpg8rfp/s-l225.jpg,Dress
Fashion Nova Midi Dress,$3.40 ,https://www.ebay.com/itm/373654330830?hash=item56ff889dce:g:8AoAAOSwtHNg9VA3,https://i.ebayimg.com/thumbs/images/g/8AoAAOSwtHNg9VA3/s-l225.jpg,Dress
Long Dress Size 12,$6.79 ,https://www.ebay.com/itm/184952578791?hash=item2b100862e7:g:B3wAAOSwXzhg9XyB,https://i.ebayimg.com/thumbs/images/g/B3wAAOSwXzhg9XyB/s-l225.jpg,Dress
per una summer dress size 18,$4.36 ,https://www.ebay.com/itm/234097964511?hash=item36815375df:g:3vQAAOSw8gNg99RY,https://i.ebayimg.com/thumbs/images/g/3vQAAOSw8gNg99RY/s-l225.jpg,Dress
New Look Floral Maxi Dress - Size 16,$12.24 ,https://www.ebay.com/itm/203530775327?hash=item2f63612b1f:g:KMwAAOSwJYxg9qg1,https://i.ebayimg.com/thumbs/images/g/KMwAAOSwJYxg9qg1/s-l225.jpg,Dress
VGUC | H&M Grey Panelled Pencil Dress | Womens Corporate | Size 34 (AU 6),$16.83 ,https://www.ebay.com/itm/224538771224?hash=item34478dbf18:g:w5wAAOSwL6xg9Aiu,https://i.ebayimg.com/thumbs/images/g/w5wAAOSwL6xg9Aiu/s-l225.jpg,Dress
Cos Black Tunic Dress BNWT Size Medium,$6.81 ,https://www.ebay.com/itm/174849155271?hash=item28b5d260c7:g:tjcAAOSwFO5g9p7b,https://i.ebayimg.com/thumbs/images/g/tjcAAOSwFO5g9p7b/s-l225.jpg,Dress
Ladies Warehouse Spot Print Midi Dress Size 8 BNWT,$20.42 ,https://www.ebay.com/itm/174847958449?hash=item28b5c01db1:g:0AQAAOSw1Whg9ZMN,https://i.ebayimg.com/thumbs/images/g/0AQAAOSw1Whg9ZMN/s-l225.jpg,Dress
Pretty Bonmarche Ladies Long COTTON  Summer Dress Size 24,$5.44 ,https://www.ebay.com/itm/144119112987?hash=item218e2b251b:g:U5sAAOSwaaBg9YEe,https://i.ebayimg.com/thumbs/images/g/U5sAAOSwaaBg9YEe/s-l225.jpg,Dress
Boohoo dress bundle size 10 new with tags bodycone blue floral green dress,$2.71 ,https://www.ebay.com/itm/324719249745?hash=item4b9ac68951:g:gdMAAOSwWNVg8~P1,https://i.ebayimg.com/thumbs/images/g/gdMAAOSwWNVg8~P1/s-l225.jpg,Dress
Ladies Joe Browns White Floral Sleeveless Dress Size 16,$5.72 ,https://www.ebay.com/itm/274871098400?hash=item3fff981c20:g:oIIAAOSwfnVg8w41,https://i.ebayimg.com/thumbs/images/g/oIIAAOSwfnVg8w41/s-l225.jpg,Dress
Bec and Bridge Kaia Long Sleeve Dress Size 8,$14.64 ,https://www.ebay.com/itm/184955715310?hash=item2b10383eee:g:698AAOSwFetg91qi,https://i.ebayimg.com/thumbs/images/g/698AAOSwFetg91qi/s-l225.jpg,Dress
Petite Summer Dress Size 8,$1.63 ,https://www.ebay.com/itm/294281959216?hash=item4484925730:g:3H8AAOSw5cpg4Zy-,https://i.ebayimg.com/thumbs/images/g/3H8AAOSw5cpg4Zy-/s-l225.jpg,Dress
BONMARCHE LONG MAXI DRESS SIZE 16,$6.79 ,https://www.ebay.com/itm/184953058699?hash=item2b100fb58b:g:Fi0AAOSwtf5g9XXO,https://i.ebayimg.com/thumbs/images/g/Fi0AAOSwtf5g9XXO/s-l225.jpg,Dress
Ladies size 10 shirt dress,$4.08 ,https://www.ebay.com/itm/194241378298?hash=item2d39b037fa:g:WbkAAOSwr5Ng5gfg,https://i.ebayimg.com/thumbs/images/g/WbkAAOSwr5Ng5gfg/s-l225.jpg,Dress
Blue and White Striped knitted style dress new with tags from Tu Size 14,$6.79 ,https://www.ebay.com/itm/234096943996?hash=item368143e37c:g:bgUAAOSw-b9g9tp3,https://i.ebayimg.com/thumbs/images/g/bgUAAOSw-b9g9tp3/s-l225.jpg,Dress
NEW Retro floral pattern wrap dress by La Redoute UK 12,$9.51 ,https://www.ebay.com/itm/265235842416?hash=item3dc149c570:g:3KkAAOSwqOlg9axy,https://i.ebayimg.com/thumbs/images/g/3KkAAOSwqOlg9axy/s-l225.jpg,Dress
Joules Ladies Blue Striped Dress Size 8,$6.79 ,https://www.ebay.com/itm/124811266841?hash=item1d0f54cb19:g:-CMAAOSwSF5gvSPE,https://i.ebayimg.com/thumbs/images/g/-CMAAOSwSF5gvSPE/s-l225.jpg,Dress
Asos summer dress 12 Petite,$6.79 ,https://www.ebay.com/itm/234095897337?hash=item368133eaf9:g:tlsAAOSwB4hg9dIL,https://i.ebayimg.com/thumbs/images/g/tlsAAOSwB4hg9dIL/s-l225.jpg,Dress
New With Tags Quiz Dress Blue & White Size 14,$4.63 ,https://www.ebay.com/itm/403004769444?hash=item5dd4f4c4a4:g:M6IAAOSwHCtg9dpy,https://i.ebayimg.com/thumbs/images/g/M6IAAOSwHCtg9dpy/s-l225.jpg,Dress
NEXT Wrap Style Dress Size 10,$4.08 ,https://www.ebay.com/itm/203525516616?hash=item2f6310ed48:g:OxcAAOSwIxNg7zZi,https://i.ebayimg.com/thumbs/images/g/OxcAAOSwIxNg7zZi/s-l225.jpg,Dress
George Red Floral Print Long Sleeve Dress Size 18 NWOT Summer Wear,$6.40 ,https://www.ebay.com/itm/363475190599?hash=item54a0cf4347:g:h90AAOSwgjNg9wMq,https://i.ebayimg.com/thumbs/images/g/h90AAOSwgjNg9wMq/s-l225.jpg,Dress
Ladies PERUNA Summer Dress Size 12,$2.18 ,https://www.ebay.com/itm/324721753462?hash=item4b9aecbd76:g:IAIAAOSw9Phg9zSk,https://i.ebayimg.com/thumbs/images/g/IAIAAOSw9Phg9zSk/s-l225.jpg,Dress
joules riviera dress 12 Pink/ Blue Striped VGC,$13.61 ,https://www.ebay.com/itm/304072454815?hash=item46cc21729f:g:I2oAAOSwAGxg9Z06,https://i.ebayimg.com/thumbs/images/g/I2oAAOSwAGxg9Z06/s-l225.jpg,Dress
Maternity dress H&M MAMA Size S / M Blue Floral Summer dress bundle,$9.53 ,https://www.ebay.com/itm/384286922275?hash=item5979491623:g:ZvUAAOSwtQxg9tq6,https://i.ebayimg.com/thumbs/images/g/ZvUAAOSwtQxg9tq6/s-l225.jpg,Dress
Bnwt Size 18 Summer Dress,$4.08 ,https://www.ebay.com/itm/224540471609?hash=item3447a7b139:g:E0AAAOSw9y1g9dbz,https://i.ebayimg.com/thumbs/images/g/E0AAAOSw9y1g9dbz/s-l225.jpg,Dress
Ladies Wrap Dress by 'Basque' - Size 10,$7.32 ,https://www.ebay.com/itm/203529557640?hash=item2f634e9688:g:i-gAAOSwfZJg6VKM,https://i.ebayimg.com/thumbs/images/g/i-gAAOSwfZJg6VKM/s-l225.jpg,Dress
White Shirred Mini Dress S10,$7.32 ,https://www.ebay.com/itm/184949025403?hash=item2b0fd22a7b:g:SOUAAOSwuNRg15y7,https://i.ebayimg.com/thumbs/images/g/SOUAAOSwuNRg15y7/s-l225.jpg,Dress
New Look Floral Dress Size 6,$4.08 ,https://www.ebay.com/itm/224534617757?hash=item34474e5e9d:g:5iIAAOSwjZpg4hYN,https://i.ebayimg.com/thumbs/images/g/5iIAAOSwjZpg4hYN/s-l225.jpg,Dress
SEASALT CORNWALL SOFT DENIM BLUE - POCKETS - SIZE 12  Weave Carrier Dress,$14.96 ,https://www.ebay.com/itm/203531839623?hash=item2f63716887:g:WJYAAOSwpAdg-A4b,https://i.ebayimg.com/thumbs/images/g/WJYAAOSwpAdg-A4b/s-l225.jpg,Dress
Cato Woman Sleeveless Lined Dress Blush Pink size 22/24W,$19.99 ,https://www.ebay.com/itm/255060002996?hash=item3b62c2c8b4:g:qQQAAOSw8ZBg9161,https://i.ebayimg.com/thumbs/images/g/qQQAAOSw8ZBg9161/s-l225.jpg,Dress
Gorgeous Leopard Print T Dress,$4.22 ,https://www.ebay.com/itm/284377033009?hash=item4236312931:g:isgAAOSwW1pg9X1y,https://i.ebayimg.com/thumbs/images/g/isgAAOSwW1pg9X1y/s-l225.jpg,Dress
Boohoo floral wrap dress size 14,$6.81 ,https://www.ebay.com/itm/144118012348?hash=item218e1a59bc:g:3VoAAOSwespg6wVp,https://i.ebayimg.com/thumbs/images/g/3VoAAOSwespg6wVp/s-l225.jpg,Dress
Primark Red Chiffon Midi Dress 12,$12.24 ,https://www.ebay.com/itm/324719939068?hash=item4b9ad10dfc:g:lwQAAOSwFhFg4t9v,https://i.ebayimg.com/thumbs/images/g/lwQAAOSwFhFg4t9v/s-l225.jpg,Dress
ladies shirt dress size 22,$4.08 ,https://www.ebay.com/itm/124815646124?hash=item1d0f979dac:g:KHUAAOSwcxRg8-pj,https://i.ebayimg.com/thumbs/images/g/KHUAAOSwcxRg8-pj/s-l225.jpg,Dress
Blue Double Frill Mini Butterfly Dress,$4.07 ,https://www.ebay.com/itm/403002073931?hash=item5dd4cba34b:g:7MsAAOSwp9Vg9ELx,https://i.ebayimg.com/thumbs/images/g/7MsAAOSwp9Vg9ELx/s-l225.jpg,Dress
Gorgeous Ladies Warehouse Silk Dress Size 16 Never Worn,$6.81 ,https://www.ebay.com/itm/324720309499?hash=item4b9ad6b4fb:g:VtQAAOSwJ2hgzNjJ,https://i.ebayimg.com/thumbs/images/g/VtQAAOSwJ2hgzNjJ/s-l225.jpg,Dress
