Title,Prices,Item_url,Image_url,Category
Glistening pretty Silver tone chunky chain bracelet with blue charms,$1.97 ,https://www.ebay.com/itm/402976484400?hash=item5dd3452c30:g:jjYAAOSwJ8Jg5Nt3,https://i.ebayimg.com/thumbs/images/g/jjYAAOSwJ8Jg5Nt3/s-l225.jpg,Bracelet
Wonderful ClE C.Banquise Paris Retro unusual Silver Brutalist Cuff Bracelet?,$102.09 ,https://www.ebay.com/itm/124818247950?hash=item1d0fbf510e:g:c94AAOSwlZNg9s9U,https://i.ebayimg.com/thumbs/images/g/c94AAOSwlZNg9s9U/s-l225.jpg,Bracelet
New Listingbracelet,$38.11 ,https://www.ebay.com/itm/124819836891?hash=item1d0fd78fdb:g:tiQAAOSw~Chg-Fsb,https://i.ebayimg.com/thumbs/images/g/tiQAAOSw~Chg-Fsb/s-l225.jpg,Bracelet
Lot of 3 Rhinestone or Glass Crystal Bracelets: 2 stretch one winds around,$12.95 ,https://www.ebay.com/itm/334080602153?hash=item4dc8c17029:g:438AAOSw8slg80fQ,https://i.ebayimg.com/thumbs/images/g/438AAOSw8slg80fQ/s-l225.jpg,Bracelet
925 Sterling silver 8MM beads Pretty Bracelet FOR women jewelry wedding,$2.04 ,https://www.ebay.com/itm/393324391492?hash=item5b93f5ec44:g:bxcAAOSwCitgn46r,https://i.ebayimg.com/thumbs/images/g/bxcAAOSwCitgn46r/s-l225.jpg,Bracelet
RASTACLAT - HERMES MENS BRACELET - 100% AUTHENTIC,$21.92 ,https://www.ebay.com/itm/224335604933?hash=item343b71acc5:g:oA0AAOSw71NgF4yn,https://i.ebayimg.com/thumbs/images/g/oA0AAOSw71NgF4yn/s-l225.jpg,Bracelet
925 Sterling silver 3M Snake chain Pretty Bracelet FOR women jewelry wedding,$1.73 ,https://www.ebay.com/itm/393324414486?hash=item5b93f64616:g:rkEAAOSw54pgn5Nq,https://i.ebayimg.com/thumbs/images/g/rkEAAOSw54pgn5Nq/s-l225.jpg,Bracelet
2PCS Fashion 925Sterling Solid Silver Jewelry Chain Bracelet For Women H157,$7.49 ,https://www.ebay.com/itm/362434759551?hash=item5462cb8b7f:g:Z60AAOSwHntbjRAC,https://i.ebayimg.com/thumbs/images/g/Z60AAOSwHntbjRAC/s-l225.jpg,Bracelet
Natural 8mm Green Red Ruby In Zoisite Round Gemstone Stretch Bracelet 7.5'' AA,$2.50 ,https://www.ebay.com/itm/323982985794?hash=item4b6ee40a42:g:qQgAAOSwI4Bgyef1,https://i.ebayimg.com/thumbs/images/g/qQgAAOSwI4Bgyef1/s-l225.jpg,Bracelet
New 50pcs/Lots assorted Handmade Leather Cuff Bracelet adjustable jewelry,$22.95 ,https://www.ebay.com/itm/274394082608?hash=item3fe3296d30:g:UF0AAOSwsQJe4elv,https://i.ebayimg.com/thumbs/images/g/UF0AAOSwsQJe4elv/s-l225.jpg,Bracelet
Genuine  Baltic Amber Bracelet,$5.99 ,https://www.ebay.com/itm/224168795258?hash=item3431805c7a:g:5BQAAOSwtkFfbJ93,https://i.ebayimg.com/thumbs/images/g/5BQAAOSwtkFfbJ93/s-l225.jpg,Bracelet
2pcs His & Hers Stainless Steel CZ Lovers Cuff Bracelet Couple Bangle Wristband,$15.99 ,https://www.ebay.com/itm/324429732106?hash=item4b8984d90a:g:YWoAAOSwk6Bf~qIb,https://i.ebayimg.com/thumbs/images/g/YWoAAOSwk6Bf~qIb/s-l225.jpg,Bracelet
New ListingBrighton Ferrara Coin Medallion Silver Hinged Bangle Bracelet,$35.00 ,https://www.ebay.com/itm/144121650387?hash=item218e51dcd3:g:mxgAAOSw50Vg90yw,https://i.ebayimg.com/thumbs/images/g/mxgAAOSw50Vg90yw/s-l225.jpg,Bracelet
8MM Natural Red Garnet Crystal Round Gemstone Beads Stretch Bracelet 7.5'' AAA,$4.50 ,https://www.ebay.com/itm/392297220795?hash=item5b56bc8abb:g:PjgAAOSwictc3BT2,https://i.ebayimg.com/thumbs/images/g/PjgAAOSwictc3BT2/s-l225.jpg,Bracelet
Natural Hematite Gemstone Multi-Colored Beaded Strechy Bracelet 11mm Wide,$2.23 ,https://www.ebay.com/itm/261056579569?hash=item3cc82f47f1:g:PsgAAOSwAuNW4pb1,https://i.ebayimg.com/thumbs/images/g/PsgAAOSwAuNW4pb1/s-l225.jpg,Bracelet
Natural Genuine 8mm Blue Apatite Round Gem Beads Stretch Bracelet 7.5'' AAA+,$6.50 ,https://www.ebay.com/itm/324347518252?hash=item4b849e5d2c:g:szYAAOSw84NflN0E,https://i.ebayimg.com/thumbs/images/g/szYAAOSw84NflN0E/s-l225.jpg,Bracelet
20 cm silver bracelet yin yang 21 mm diameter,$5.00 ,https://www.ebay.com/itm/282496215536?hash=item41c61629f0:g:vP8AAOSwjL5ZKW4B,https://i.ebayimg.com/thumbs/images/g/vP8AAOSwjL5ZKW4B/s-l225.jpg,Bracelet
2x4mm Faceted Amethyst Roundlle Gemstones Bracelet 7.5 inch,$2.50 ,https://www.ebay.com/itm/323983051322?hash=item4b6ee50a3a:g:StEAAOSw~9Fd0RwR,https://i.ebayimg.com/thumbs/images/g/StEAAOSw~9Fd0RwR/s-l225.jpg,Bracelet
Fashion 925Sterling Solid Silver Jewelry Flower Round Bracelet For Women H235,$7.99 ,https://www.ebay.com/itm/223140374632?hash=item33f433e868:g:l6sAAOSwq~JbjQzA,https://i.ebayimg.com/thumbs/images/g/l6sAAOSwq~JbjQzA/s-l225.jpg,Bracelet
"Mookaite Black Onyx Handmade Gemstone Ethnic Gift Bracelet 7-8"" H711",$2.99 ,https://www.ebay.com/itm/184954161330?hash=item2b102088b2:g:qtMAAOSwk~9g9np5,https://i.ebayimg.com/thumbs/images/g/qtMAAOSwk~9g9np5/s-l225.jpg,Bracelet
2PCS Hot 925Sterling Solid Silver Men Jewelry 6mm Chain Bracelet For Women H164,$7.99 ,https://www.ebay.com/itm/223143131922?hash=item33f45dfb12:g:nGsAAOSwq~JbjQ-h,https://i.ebayimg.com/thumbs/images/g/nGsAAOSwq~JbjQ-h/s-l225.jpg,Bracelet
"Peridot Gemstone Handmade Ethnic Gift Jewelry Bracelet 7""-8"" d239",$3.99 ,https://www.ebay.com/itm/184953432014?hash=item2b101567ce:g:EOYAAOSwKINg9e2Y,https://i.ebayimg.com/thumbs/images/g/EOYAAOSwKINg9e2Y/s-l225.jpg,Bracelet
Black Rutile Gemstone Ethnic Handmade Gift Cuff Bracelet Adjustable R159,$3.99 ,https://www.ebay.com/itm/184952476291?hash=item2b1006d283:g:fqUAAOSwO6hg9W8G,https://i.ebayimg.com/thumbs/images/g/fqUAAOSwO6hg9W8G/s-l225.jpg,Bracelet
New ListingFluorite Chalcedony Ethnic Handmade Bracelet Jewelry 23 Gms AB 1611,$3.99 ,https://www.ebay.com/itm/403007937458?hash=item5dd5251bb2:g:zakAAOSwPS1g94-4,https://i.ebayimg.com/thumbs/images/g/zakAAOSwPS1g94-4/s-l225.jpg,Bracelet
"New ListingRed Coral Handmade Gemstone Ethnic Fashion Jewelry Bracelet 6-8"" SB-481",$4.48 ,https://www.ebay.com/itm/294287165032?hash=item4484e1c668:g:GS8AAOSw-k1f3jD0,https://i.ebayimg.com/thumbs/images/g/GS8AAOSw-k1f3jD0/s-l225.jpg,Bracelet
Orange Scolecite Ethnic Gemstone Handmade Gift Cuff Bracelet Adjustable v669,$3.99 ,https://www.ebay.com/itm/184952482384?hash=item2b1006ea50:g:5TIAAOSwziFg9XDl,https://i.ebayimg.com/thumbs/images/g/5TIAAOSwziFg9XDl/s-l225.jpg,Bracelet
"Genuine 2 Rows 7-8mm White Akoya Cultured pearl Bracelet Bangle 7.5"" AAA",$6.50 ,https://www.ebay.com/itm/333032774258?hash=item4d8a4cda72:g:CqgAAOSwaG9XI0qM,https://i.ebayimg.com/thumbs/images/g/CqgAAOSwaG9XI0qM/s-l225.jpg,Bracelet
"Swiss Blue Topaz Gemstone Handmade Ethnic Gift Bracelet 7-8"" R500",$3.99 ,https://www.ebay.com/itm/184953474567?hash=item2b10160e07:g:hpMAAOSwD-Jg9fUa,https://i.ebayimg.com/thumbs/images/g/hpMAAOSwD-Jg9fUa/s-l225.jpg,Bracelet
High quality bracelet. closed enamel pretty colours. very trendy. me14,$31.64 ,https://www.ebay.com/itm/164834597280?hash=item2660e859a0:g:ak4AAOSw0fFfSg8Q,https://i.ebayimg.com/thumbs/images/g/ak4AAOSw0fFfSg8Q/s-l225.jpg,Bracelet
"Black Onyx Gemstone Handmade Ethnic Gift Jewelry Bracelet 7-8"" a263",$2.99 ,https://www.ebay.com/itm/184947766954?hash=item2b0fbef6aa:g:VhMAAOSwlWJg8nA2,https://i.ebayimg.com/thumbs/images/g/VhMAAOSwlWJg8nA2/s-l225.jpg,Bracelet
2 Pcs Mona Lisa Natural Morganite Peridot Amethyst Gems Silver Bracelet Earrings,$15.99 ,https://www.ebay.com/itm/254155756380?hash=item3b2cdd135c:g:qyoAAOSwfchcgwkz,https://i.ebayimg.com/thumbs/images/g/qyoAAOSwfchcgwkz/s-l225.jpg,Bracelet
